Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1082195.2,0.0,1082195.2,2681988.6,0.0,1187880.3,92345.414,0.97759729
0.005,-33681.328,0.0,-33681.328,-35123.863,0.0,-1071.1126,92345.414,0.97759729
0.01,-33793.788,0.0,-33793.788,-35252.133,0.0,-1082.8517,92345.414,0.97759729
0.01218,-33801.647,0.0,-33801.647,-35247.899,0.0,-1073.8726,92345.414,0.97759729
0.00141,-31629.514,1121.749,-32751.263,-32266.098,124.65172,-472.67674,92345.414,0.97759729
0.00391,-30932.202,1507.8743,-32440.076,-30999.943,167.55898,-50.299161,92345.414,0.97759729
0.00641,-30433.601,1746.9309,-32180.532,-31048.729,194.12359,-456.74563,92345.414,0.97759729
0.00891,-30438.969,1753.9152,-32192.884,-31108.293,194.89971,-496.98733,92345.414,0.97759729
0.01141,-30468.907,1781.8692,-32250.776,-31198.568,198.00602,-541.78909,92345.414,0.97759729
0.01391,-30541.607,1792.0298,-32333.637,-31418.861,199.1351,-651.37968,92345.414,0.97759729
0.01641,-30552.79,1809.6173,-32362.408,-31494.919,201.08947,-699.55039,92345.414,0.97759729
0.01891,-30643.367,1780.4937,-32423.861,-31317.68,197.85317,-500.69177,92345.414,0.97759729
0.02141,-30684.175,1806.6121,-32490.787,-31268.223,200.75552,-433.66842,92345.414,0.97759729
0.02391,-30642.321,1832.4078,-32474.729,-30805.77,203.62201,-121.364,92345.414,0.97759729
0.02641,-30671.502,1843.2913,-32514.793,-31196.057,204.83141,-389.49299,92345.414,0.97759729
0.02891,-30703.574,1764.6713,-32468.245,-30933.91,196.09494,-171.02902,92345.414,0.97759729
0.03141,-30759.647,1775.327,-32534.974,-31332.199,197.27904,-425.13222,92345.414,0.97759729
0.03391,-30717.631,1805.6139,-32523.245,-31555.147,200.6446,-621.87258,92345.414,0.97759729
0.03641,-30725.811,1779.4049,-32505.216,-31116.67,197.73218,-290.22106,92345.414,0.97759729
0.03891,-30842.717,1801.8405,-32644.557,-31433.793,200.22528,-438.88656,92345.414,0.97759729
0.04141,-30856.133,1786.0497,-32642.183,-31245.303,198.47057,-288.96694,92345.414,0.97759729
0.04391,-30740.684,1786.9928,-32527.677,-31238.758,198.57537,-369.82988,92345.414,0.97759729
0.04641,-30757.981,1821.1659,-32579.147,-31487.307,202.37278,-541.53973,92345.414,0.97759729
0.04891,-30787.118,1801.9419,-32589.06,-31122.16,200.23656,-248.77586,92345.414,0.97759729
0.05141,-30798.294,1772.2045,-32570.498,-31059.611,196.93205,-194.03354,92345.414,0.97759729
0.05391,-30871.429,1767.8075,-32639.237,-31414.53,196.44346,-403.26365,92345.414,0.97759729
0.05641,-30870.366,1758.4431,-32628.809,-31356.388,195.40286,-360.88155,92345.414,0.97759729
0.05891,-30840.774,1817.461,-32658.235,-31540.807,201.96109,-519.78962,92345.414,0.97759729
0.06141,-30804.598,1805.1133,-32609.711,-31402.305,200.58897,-443.80997,92345.414,0.97759729
0.06391,-30856.556,1802.3601,-32658.916,-31398.699,200.28303,-402.55325,92345.414,0.97759729
0.06641,-30912.865,1796.0528,-32708.918,-31041.867,199.58215,-95.786864,92345.414,0.97759729
0.06891,-30896.973,1774.979,-32671.952,-31094.298,197.24037,-146.51785,92345.414,0.97759729
0.07141,-30795.905,1840.8109,-32636.716,-31195.011,204.55578,-296.34416,92345.414,0.97759729
0.07391,-30995.859,1715.0743,-32710.933,-31543.562,190.58359,-406.68106,92345.414,0.97759729
0.07641,-30810.541,1813.7273,-32624.269,-31184.059,201.54619,-277.3448,92345.414,0.97759729
0.07891,-30889.271,1796.3676,-32685.639,-31298.211,199.61713,-303.6463,92345.414,0.97759729
0.08141,-30903.713,1750.1573,-32653.87,-31026.187,194.48212,-90.939995,92345.414,0.97759729
0.08391,-30899.052,1813.5699,-32712.622,-30972.577,201.52869,-54.594008,92345.414,0.97759729
0.08641,-30863.784,1784.8452,-32648.63,-30957.104,198.33672,-69.292045,92345.414,0.97759729
0.08891,-30853.325,1819.7418,-32673.067,-31034.017,202.21453,-134.16808,92345.414,0.97759729
0.09141,-30911.258,1796.7395,-32707.998,-31093.6,199.65846,-135.39251,92345.414,0.97759729
0.09391,-30962.27,1750.4157,-32712.686,-31121.741,194.51083,-118.40996,92345.414,0.97759729
0.09641,-30842.703,1823.0188,-32665.721,-31059.504,202.57868,-160.97989,92345.414,0.97759729
0.09891,-30826.483,1820.3096,-32646.792,-30852.406,202.27762,-19.24863,92345.414,0.97759729
0.10141,-30903.12,1806.4638,-32709.584,-31225.881,200.73904,-239.65682,92345.414,0.97759729
0.10391,-30921.631,1759.5621,-32681.193,-31262.385,195.52721,-253.01686,92345.414,0.97759729
0.10641,-30802.1,1850.1574,-32652.258,-31065.414,205.59439,-195.51585,92345.414,0.97759729
0.10891,-30905.637,1756.668,-32662.305,-31348.033,195.20561,-328.4881,92345.414,0.97759729
0.11141,-30905.521,1809.9276,-32715.448,-31391.673,201.12394,-360.97858,92345.414,0.97759729
0.11391,-30894.243,1820.1731,-32714.417,-31129.453,202.26246,-174.64845,92345.414,0.97759729
0.11641,-30867.975,1768.8459,-32636.821,-31206.39,196.55884,-251.28037,92345.414,0.97759729
0.11891,-30915.687,1811.8198,-32727.507,-31069.126,201.33421,-113.93128,92345.414,0.97759729
0.12141,-30965.245,1729.2037,-32694.449,-31244.035,192.15369,-207.00788,92345.414,0.97759729
0.12391,-30920.745,1788.5735,-32709.318,-30853.235,198.75103,50.127844,92345.414,0.97759729
0.125,-31006.751,1822.955,-32829.706,-30967.722,202.57159,28.97988,92345.414,0.97759729
0.39,-30904.728,1817.8113,-32722.539,-31249.361,202.0,-255.89725,92345.414,0.97759729
0.395,-30882.504,1807.6635,-32690.168,-31336.173,200.87236,-336.85867,92345.414,0.97759729
0.4,-30865.167,1787.976,-32653.143,-31088.358,198.68463,-165.72448,92345.414,0.97759729
0.405,-30919.348,1780.8203,-32700.168,-31315.697,197.88947,-294.29794,92345.414,0.97759729
0.41,-30982.229,1794.3567,-32776.585,-31115.381,199.39367,-98.868519,92345.414,0.97759729
0.415,-30973.13,1798.7741,-32771.904,-31286.818,199.88455,-232.91946,92345.414,0.97759729
0.42,-30912.601,1806.5943,-32719.195,-31030.137,200.75354,-87.273251,92345.414,0.97759729
0.425,-30998.667,1783.9002,-32782.567,-31260.865,198.23171,-194.68811,92345.414,0.97759729
0.43,-31008.138,1788.1734,-32796.311,-31113.463,198.70656,-78.206215,92345.414,0.97759729
0.435,-30932.538,1802.2634,-32734.801,-31162.896,200.27228,-171.04596,92345.414,0.97759729
0.44,-30928.479,1831.5244,-32760.003,-31111.586,203.52384,-135.961,92345.414,0.97759729
0.445,-30982.423,1802.9606,-32785.383,-31156.81,200.34976,-129.4862,92345.414,0.97759729
0.45,-31059.051,1768.9425,-32827.993,-31224.03,196.56958,-122.50065,92345.414,0.97759729
0.455,-30958.128,1780.2803,-32738.408,-31511.579,197.82946,-410.94901,92345.414,0.97759729
0.46,-30915.408,1827.8799,-32743.288,-31335.357,203.11885,-311.82076,92345.414,0.97759729
0.465,-30965.887,1793.3509,-32759.238,-31119.048,199.2819,-113.72535,92345.414,0.97759729
0.47,-31042.251,1802.4992,-32844.751,-31308.765,200.29849,-197.89171,92345.414,0.97759729
0.475,-30992.65,1790.4682,-32783.118,-31107.757,198.96157,-85.469541,92345.414,0.97759729
0.48,-30990.141,1824.6023,-32814.743,-30859.548,202.75464,96.968301,92345.414,0.97759729
0.485,-31029.15,1777.9914,-32807.141,-30812.456,197.57511,160.9001,92345.414,0.97759729
0.49,-31061.49,1796.6866,-32858.177,-30945.091,199.65257,86.429085,92345.414,0.97759729
0.495,-31100.352,1804.7479,-32905.1,-30900.64,200.54837,148.28987,92345.414,0.97759729
0.5,-31046.312,1795.672,-32841.984,-30912.86,199.53983,99.091033,92345.414,0.97759729
0.505,-31058.743,1791.8558,-32850.599,-30904.287,199.11576,114.68715,92345.414,0.97759729
0.51,-30995.656,1807.8909,-32803.547,-30876.174,200.89763,88.718179,92345.414,0.97759729
0.515,-31037.796,1763.6603,-32801.456,-31342.649,195.9826,-226.36044,92345.414,0.97759729
0.52,-31093.541,1752.3187,-32845.86,-31075.529,194.7223,13.374606,92345.414,0.97759729
0.525,-31004.745,1779.9232,-32784.669,-31234.585,197.78978,-170.66065,92345.414,0.97759729
0.53,-31043.684,1799.4897,-32843.174,-31261.672,199.96406,-161.86077,92345.414,0.97759729
0.535,-30998.085,1813.4482,-32811.533,-30976.49,201.51517,16.035212,92345.414,0.97759729
0.54,-30952.076,1797.0887,-32749.165,-31087.803,199.69726,-100.78002,92345.414,0.97759729
0.545,-30942.265,1814.1716,-32756.437,-30985.706,201.59555,-32.255586,92345.414,0.97759729
0.55,-31001.733,1818.4002,-32820.133,-30989.585,202.06545,9.0203572,92345.414,0.97759729
0.555,-31005.246,1798.4848,-32803.731,-31117.008,199.85239,-82.985177,92345.414,0.97759729
0.56,-30944.886,1804.0529,-32748.939,-31082.543,200.47114,-102.21331,92345.414,0.97759729
0.565,-31009.305,1769.0008,-32778.305,-31217.256,196.57605,-154.40854,92345.414,0.97759729
0.57,-30912.895,1818.8387,-32731.733,-30996.005,202.11418,-61.711514,92345.414,0.97759729
0.575,-30966.792,1782.299,-32749.091,-30901.341,198.05378,48.598833,92345.414,0.97759729
0.58,-31003.141,1779.3677,-32782.508,-30927.548,197.72805,56.129104,92345.414,0.97759729
0.585,-31011.896,1775.0727,-32786.969,-30795.481,197.25078,160.69289,92345.414,0.97759729
