Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1082195.2,0.0,1082195.2,2681988.6,0.0,1187880.3,92345.414,0.97759729
0.005,-33681.328,0.0,-33681.328,-35123.863,0.0,-1071.1126,92345.414,0.97759729
0.01,-33793.788,0.0,-33793.788,-35252.133,0.0,-1082.8517,92345.414,0.97759729
0.01218,-33801.647,0.0,-33801.647,-35247.899,0.0,-1073.8726,92345.414,0.97759729
0.00141,-30871.486,1444.054,-32315.541,-31404.171,160.46711,-395.52982,92345.414,0.97759729
0.00391,-29918.589,1935.4825,-31854.071,-30234.597,215.07595,-234.6428,92345.414,0.97759729
0.00641,-29108.396,2243.4179,-31351.814,-29743.179,249.29454,-471.33957,92345.414,0.97759729
0.00891,-28550.225,2392.8201,-30943.045,-29759.39,265.89651,-897.83014,92345.414,0.97759729
0.01141,-28263.023,2427.1354,-30690.159,-29445.19,269.70972,-877.78373,92345.414,0.97759729
0.01391,-28352.386,2450.7077,-30803.093,-29532.325,272.32913,-876.12983,92345.414,0.97759729
0.01641,-28127.299,2440.7757,-30568.075,-29672.051,271.22546,-1147.0107,92345.414,0.97759729
0.01891,-28152.467,2447.7244,-30600.191,-29316.751,271.99762,-864.50559,92345.414,0.97759729
0.02141,-28239.685,2462.9779,-30702.663,-29746.352,273.69263,-1118.7321,92345.414,0.97759729
0.02391,-28190.32,2396.9063,-30587.226,-29670.691,266.35057,-1099.2067,92345.414,0.97759729
0.02641,-28133.727,2412.7313,-30546.459,-29095.805,268.10909,-714.36329,92345.414,0.97759729
0.02891,-28254.864,2435.0507,-30689.915,-29685.893,270.58928,-1062.5687,92345.414,0.97759729
0.03141,-28224.14,2421.1289,-30645.269,-29710.357,269.04225,-1103.5472,92345.414,0.97759729
0.03391,-28272.535,2423.7162,-30696.252,-30146.649,269.32977,-1391.5688,92345.414,0.97759729
0.03641,-28117.414,2418.4944,-30535.908,-29103.288,268.7495,-732.03262,92345.414,0.97759729
0.03891,-28080.277,2488.3329,-30568.61,-29985.522,276.51014,-1414.6841,92345.414,0.97759729
0.04141,-28171.148,2466.7181,-30637.866,-30148.427,274.10825,-1468.1711,92345.414,0.97759729
0.04391,-28201.848,2423.096,-30624.944,-29937.126,269.26084,-1288.4805,92345.414,0.97759729
0.04641,-28164.469,2466.4783,-30630.947,-29613.182,274.0816,-1075.7005,92345.414,0.97759729
0.04891,-28214.753,2375.174,-30589.927,-29092.086,263.93562,-651.43848,92345.414,0.97759729
0.05141,-28130.487,2466.6548,-30597.142,-29503.692,274.10122,-1019.6338,92345.414,0.97759729
0.05391,-28171.409,2480.1091,-30651.518,-29350.974,275.5963,-875.85172,92345.414,0.97759729
0.05641,-28253.183,2412.2891,-30665.472,-29348.664,268.05995,-813.41789,92345.414,0.97759729
0.05891,-28255.746,2430.3645,-30686.111,-29378.887,270.06854,-833.95591,92345.414,0.97759729
0.06141,-28255.349,2372.1374,-30627.486,-29573.11,263.5982,-978.46503,92345.414,0.97759729
0.06391,-28114.387,2415.3011,-30529.688,-29010.223,268.39466,-665.17671,92345.414,0.97759729
0.06641,-28198.574,2474.7839,-30673.358,-29575.452,275.00454,-1022.3607,92345.414,0.97759729
0.06891,-28177.554,2427.958,-30605.512,-29659.086,269.80112,-1100.069,92345.414,0.97759729
0.07141,-28121.822,2399.5503,-30521.373,-29240.08,266.64439,-830.33023,92345.414,0.97759729
0.07391,-28218.393,2405.1369,-30623.53,-29690.776,267.26518,-1093.2753,92345.414,0.97759729
0.07641,-28133.765,2491.5042,-30625.269,-29568.854,276.86255,-1065.5841,92345.414,0.97759729
0.07891,-28316.475,2372.8015,-30689.276,-29242.753,263.67199,-687.78081,92345.414,0.97759729
0.08141,-28121.344,2473.2096,-30594.554,-29524.325,274.8296,-1041.743,92345.414,0.97759729
0.08391,-28145.831,2488.4548,-30634.285,-29795.374,276.52369,-1224.8206,92345.414,0.97759729
0.08641,-28212.014,2422.4319,-30634.446,-29252.165,269.18705,-772.33407,92345.414,0.97759729
0.08891,-28148.765,2459.5034,-30608.269,-29355.363,273.30653,-895.92462,92345.414,0.97759729
0.09141,-28100.461,2465.5208,-30565.982,-29334.052,273.9752,-915.96728,92345.414,0.97759729
0.09391,-28188.534,2382.5685,-30571.103,-29373.631,264.75732,-879.95916,92345.414,0.97759729
0.09641,-28155.062,2506.7055,-30661.767,-29515.935,278.55176,-1010.4768,92345.414,0.97759729
0.09891,-28112.697,2449.7223,-30562.419,-29512.662,272.21963,-1039.5037,92345.414,0.97759729
0.10141,-28058.078,2460.4129,-30518.491,-29664.798,273.40759,-1193.0235,92345.414,0.97759729
0.10391,-28257.749,2422.3234,-30680.072,-29508.808,269.17499,-928.9379,92345.414,0.97759729
0.10641,-28223.853,2445.6916,-30669.544,-29513.503,271.77173,-957.59224,92345.414,0.97759729
0.10891,-28116.747,2489.8569,-30606.604,-29642.343,276.6795,-1132.7871,92345.414,0.97759729
0.11141,-28218.257,2420.1545,-30638.412,-29553.731,268.93398,-991.61747,92345.414,0.97759729
0.11391,-28213.733,2415.5925,-30629.326,-29526.265,268.42703,-974.58243,92345.414,0.97759729
0.11641,-28163.846,2505.9457,-30669.792,-29693.708,278.46732,-1135.9546,92345.414,0.97759729
0.11891,-28211.846,2412.5151,-30624.361,-29090.017,268.08506,-652.0604,92345.414,0.97759729
0.12141,-28135.695,2426.8106,-30562.506,-29557.015,269.67362,-1055.3599,92345.414,0.97759729
0.12391,-28243.952,2389.6971,-30633.649,-29788.475,265.54947,-1146.8407,92345.414,0.97759729
0.125,-28150.969,2400.9481,-30551.917,-29172.435,266.79971,-758.45939,92345.414,0.97759729
0.39,-28155.82,2403.7383,-30559.559,-29474.247,267.10977,-978.95989,92345.414,0.97759729
0.395,-28214.771,2410.1253,-30624.897,-29194.213,267.81951,-727.25585,92345.414,0.97759729
0.4,-28237.19,2447.88,-30685.07,-29372.774,272.01491,-843.1948,92345.414,0.97759729
0.405,-28192.905,2400.2968,-30593.201,-29560.489,266.72734,-1015.4602,92345.414,0.97759729
0.41,-28072.589,2458.8605,-30531.45,-29823.152,273.23509,-1299.8298,92345.414,0.97759729
0.415,-28129.786,2444.0147,-30573.801,-29305.487,271.58538,-872.98242,92345.414,0.97759729
0.42,-28127.992,2457.021,-30585.013,-29372.003,273.03068,-923.70423,92345.414,0.97759729
0.425,-28067.261,2462.6468,-30529.908,-29401.926,273.65583,-991.01687,92345.414,0.97759729
0.43,-28096.678,2480.8041,-30577.482,-29780.34,275.67353,-1250.1546,92345.414,0.97759729
0.435,-28081.067,2409.0465,-30490.114,-29627.422,267.69963,-1148.2012,92345.414,0.97759729
0.44,-28112.74,2454.7537,-30567.494,-29884.082,272.77873,-1315.2592,92345.414,0.97759729
0.445,-28103.148,2461.5557,-30564.704,-29785.709,273.53459,-1249.3367,92345.414,0.97759729
0.45,-28194.52,2464.5766,-30659.096,-29328.715,273.87028,-842.16421,92345.414,0.97759729
0.455,-28157.571,2385.377,-30542.948,-29594.191,265.06941,-1066.7207,92345.414,0.97759729
0.46,-28138.161,2422.2243,-30560.385,-29359.815,269.16398,-907.10422,92345.414,0.97759729
0.465,-28161.82,2478.6209,-30640.441,-29193.507,275.43092,-766.04951,92345.414,0.97759729
0.47,-28043.781,2480.0655,-30523.847,-29029.294,275.59144,-731.76394,92345.414,0.97759729
0.475,-28079.069,2401.2348,-30480.304,-29792.331,266.83157,-1272.1334,92345.414,0.97759729
0.48,-28096.048,2378.4714,-30474.519,-29608.207,264.30204,-1122.81,92345.414,0.97759729
0.485,-28124.414,2440.7238,-30565.138,-29322.337,271.21969,-889.483,92345.414,0.97759729
0.49,-28128.693,2420.8907,-30549.584,-29130.911,269.01579,-744.16767,92345.414,0.97759729
0.495,-28217.39,2461.0988,-30678.488,-29888.533,273.48382,-1240.8592,92345.414,0.97759729
0.5,-28159.639,2450.961,-30610.6,-29047.542,272.35727,-659.28647,92345.414,0.97759729
0.505,-28312.077,2337.2312,-30649.308,-29807.695,259.71932,-1110.5278,92345.414,0.97759729
0.51,-28035.541,2471.9084,-30507.45,-29474.075,274.68501,-1068.1412,92345.414,0.97759729
0.515,-28099.895,2399.876,-30499.771,-29314.238,266.68058,-901.67514,92345.414,0.97759729
0.52,-28171.413,2466.3438,-30637.757,-28944.242,274.06666,-573.84174,92345.414,0.97759729
0.525,-28014.583,2444.0132,-30458.597,-29091.468,271.58522,-799.60965,92345.414,0.97759729
0.53,-28152.122,2418.2753,-30570.397,-29630.496,268.72515,-1097.7242,92345.414,0.97759729
0.535,-28186.741,2373.4377,-30560.179,-30355.311,263.74268,-1610.2083,92345.414,0.97759729
0.54,-28137.563,2442.0872,-30579.651,-29518.54,271.3712,-1025.4045,92345.414,0.97759729
0.545,-28209.643,2408.4079,-30618.051,-29149.748,267.62867,-698.04735,92345.414,0.97759729
0.55,-28217.435,2432.8817,-30650.317,-30071.925,270.34826,-1376.9974,92345.414,0.97759729
0.555,-28171.738,2421.3155,-30593.053,-29181.04,269.06299,-749.42824,92345.414,0.97759729
0.56,-28134.739,2402.0817,-30536.821,-29469.609,266.92568,-991.16956,92345.414,0.97759729
0.565,-28178.989,2439.9504,-30618.94,-29398.233,271.13375,-905.31411,92345.414,0.97759729
0.57,-28111.41,2443.441,-30554.851,-29593.825,271.52164,-1100.7247,92345.414,0.97759729
0.575,-28291.918,2341.8565,-30633.774,-29538.607,260.2333,-925.69348,92345.414,0.97759729
0.58,-28227.92,2421.384,-30649.304,-29594.945,269.07061,-1015.0455,92345.414,0.97759729
