Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1081442.9,0.0,1081442.9,2680077.2,0.0,1187019.7,92345.414,0.97182764
0.005,-33648.094,0.0,-33648.094,-35297.219,0.0,-1224.5093,92345.414,0.97182764
0.00593,-33651.026,0.0,-33651.026,-35278.87,0.0,-1208.7086,92345.414,0.97182764
0.002035,-31859.18,949.32297,-32808.503,-32872.121,106.19479,-752.12961,92345.414,0.97182764
0.004535,-31859.293,1046.5825,-32905.876,-33095.187,117.0746,-917.67744,92345.414,0.97182764
0.007035,-31859.291,1116.9841,-32976.275,-32977.457,124.94999,-830.26148,92345.414,0.97182764
0.009535,-31859.348,1141.9075,-33001.256,-32743.399,127.73801,-656.42662,92345.414,0.97182764
0.012035,-31859.361,1172.5513,-33031.913,-32713.06,131.16594,-633.88905,92345.414,0.97182764
0.014535,-31859.51,1219.4202,-33078.93,-32278.194,136.40888,-310.88136,92345.414,0.97182764
0.017035,-31859.361,1218.1826,-33077.544,-32774.695,136.27043,-679.65466,92345.414,0.97182764
0.019535,-31859.478,1256.4369,-33115.915,-32590.349,140.5497,-542.68696,92345.414,0.97182764
0.022035,-31859.422,1283.6515,-33143.074,-32350.212,143.59402,-364.4218,92345.414,0.97182764
0.024535,-31859.317,1278.2874,-33137.604,-32366.721,142.99397,-376.75786,92345.414,0.97182764
0.027035,-31859.419,1293.2652,-33152.684,-32351.192,144.66945,-365.15221,92345.414,0.97182764
0.029535,-31859.386,1316.483,-33175.869,-32290.956,147.26668,-320.44951,92345.414,0.97182764
0.032035,-31859.427,1334.4776,-33193.904,-32594.375,149.27962,-545.7145,92345.414,0.97182764
0.034535,-31859.626,1346.6449,-33206.271,-32656.517,150.6407,-591.70856,92345.414,0.97182764
0.037035,-31859.531,1363.7647,-33223.295,-32368.028,152.55578,-377.5702,92345.414,0.97182764
0.039535,-31859.561,1342.3019,-33201.863,-32382.977,150.15487,-388.64776,92345.414,0.97182764
0.042035,-31859.356,1322.8972,-33182.253,-32278.096,147.98419,-310.92378,92345.414,0.97182764
0.044535,-31859.484,1354.762,-33214.246,-32113.677,151.54871,-188.74398,92345.414,0.97182764
0.047035,-31859.555,1367.1062,-33226.662,-32137.217,152.92958,-206.16944,92345.414,0.97182764
