Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1081442.9,0.0,1081442.9,2680077.2,0.0,1187019.7,92345.414,0.97182764
0.005,-33648.094,0.0,-33648.094,-35297.219,0.0,-1224.5093,92345.414,0.97182764
0.00593,-33651.026,0.0,-33651.026,-35278.87,0.0,-1208.7086,92345.414,0.97182764
0.002035,-30443.279,1627.2654,-32070.544,-30181.942,182.03196,197.22088,90859.598,0.98771982
0.004535,-29503.04,2058.6343,-31561.674,-29635.696,230.28647,-99.999395,90960.813,0.98662075
0.007035,-28752.469,2324.4207,-31076.889,-29145.232,260.01833,-298.58919,90194.789,0.99500012
0.009535,-28276.052,2425.0789,-30701.131,-28111.966,271.27833,125.6579,89537.717,1.0023019
0.012035,-28032.742,2485.1859,-30517.928,-28416.908,278.00212,-293.53523,89739.402,1.0000493
0.014535,-28132.217,2516.1257,-30648.343,-28105.307,281.46316,20.604008,89556.348,1.0020934
0.017035,-28111.992,2466.9571,-30578.949,-27378.173,275.96299,565.41613,88990.758,1.0084623
0.019535,-28049.3,2489.5962,-30538.896,-28458.532,278.49548,-313.4122,89531.862,1.0023675
0.022035,-28165.771,2451.7027,-30617.473,-28342.676,274.25657,-135.49167,89526.911,1.0024229
0.024535,-28175.974,2382.5565,-30558.531,-28166.426,266.52162,7.3186823,89457.342,1.0032025
0.027035,-28077.928,2508.3589,-30586.287,-27895.458,280.59435,139.42513,89737.636,1.000069
0.029535,-28145.096,2471.0779,-30616.174,-28701.638,276.42395,-423.74446,90057.162,0.9965207
0.032035,-28047.493,2479.7164,-30527.21,-27776.394,277.39029,208.75395,89046.782,1.0078278
0.034535,-28074.328,2452.5776,-30526.906,-28227.575,274.35444,-117.4444,89470.778,1.0030518
0.037035,-28088.052,2450.7937,-30538.845,-27491.624,274.15488,457.72827,89345.765,1.0044553
0.039535,-28147.082,2433.857,-30580.939,-28215.922,272.26028,-52.545032,89831.406,0.99902507
0.042035,-27973.113,2518.5044,-30491.617,-27892.799,281.72925,61.415423,89668.246,1.0008429
0.044535,-28203.534,2438.8858,-30642.42,-28365.363,272.82282,-123.85186,89593.985,1.0016724
0.047035,-28156.92,2433.6033,-30590.524,-27615.23,272.23191,415.0344,89493.432,1.0027979
