Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1081442.9,0.0,1081442.9,2680077.2,0.0,1187019.7,92345.414,0.97182764
0.005,-33648.094,0.0,-33648.094,-35297.219,0.0,-1224.5093,92345.414,0.97182764
0.00593,-33651.026,0.0,-33651.026,-35278.87,0.0,-1208.7086,92345.414,0.97182764
0.002035,-31206.702,1261.3518,-32468.054,-31412.999,141.0995,-154.25805,91700.043,0.97866722
0.004535,-30247.624,1771.3799,-32019.004,-30134.508,198.15314,85.159515,91078.869,0.9853419
0.007035,-29350.07,2108.0713,-31458.141,-29614.383,235.81668,-199.43395,90874.935,0.98755312
0.009535,-28675.177,2276.2157,-30951.392,-28372.86,254.62594,229.74737,90226.955,0.9946454
0.012035,-28240.252,2412.6696,-30652.922,-28062.304,269.89018,135.81316,89841.308,0.99891496
0.014535,-28250.107,2425.1584,-30675.266,-28380.071,271.28722,-99.538599,89526.913,1.0024229
0.017035,-28101.466,2458.4211,-30559.887,-28530.907,275.00811,-328.00553,89773.164,0.9996732
0.019535,-28095.091,2469.9149,-30565.006,-27836.468,276.29385,199.40543,88931.201,1.0091377
0.022035,-28075.934,2468.9439,-30544.878,-28367.595,276.18523,-222.80132,89760.421,0.99981512
0.024535,-28157.885,2450.5588,-30608.444,-27877.684,274.12861,214.34983,89633.441,1.0012315
0.027035,-28131.728,2395.0885,-30526.816,-28456.798,267.92349,-248.62242,89652.217,1.0010218
0.029535,-28185.883,2437.2073,-30623.09,-28359.488,272.63506,-132.9841,89513.026,1.0025784
0.032035,-28049.54,2498.5978,-30548.138,-27652.953,279.50242,304.53166,89295.511,1.0050206
0.034535,-28092.751,2474.5713,-30567.322,-27579.081,276.81473,392.80277,89667.261,1.0008539
0.037035,-28235.142,2441.7567,-30676.899,-27912.043,273.14397,247.89209,89371.194,1.0041695
0.039535,-28120.229,2505.0505,-30625.28,-28490.968,280.22425,-283.33365,89721.055,1.0002538
0.042035,-28125.889,2483.0254,-30608.914,-27919.476,277.76044,157.88907,89641.41,1.0011425
0.044535,-28042.827,2458.8498,-30501.677,-27807.188,275.05607,180.64053,89444.93,1.0033417
0.047035,-28061.067,2497.709,-30558.776,-28552.519,279.403,-376.35682,89537.613,1.0023031
