Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1081442.9,0.0,1081442.9,2680077.2,0.0,1187019.7,92345.414,0.97182764
0.005,-33648.094,0.0,-33648.094,-35297.219,0.0,-1224.5093,92345.414,0.97182764
0.00593,-33651.026,0.0,-33651.026,-35278.87,0.0,-1208.7086,92345.414,0.97182764
0.002035,-31207.447,1303.5018,-32510.949,-31165.702,145.81455,31.409237,91131.942,0.98476806
0.004535,-30248.037,1813.4925,-32061.529,-30477.817,202.864,-173.07339,91034.478,0.98582238
0.007035,-29350.382,2134.2903,-31484.672,-29316.804,238.74964,25.294682,91021.595,0.98596192
0.009535,-28670.852,2360.9879,-31031.84,-28526.929,264.10887,109.10988,90446.288,0.99223338
0.012035,-28226.315,2433.0981,-30659.413,-28649.302,272.17539,-322.25875,90000.862,0.99714407
0.014535,-28211.18,2456.8234,-30668.003,-28400.494,274.82939,-145.0276,89506.745,1.0026488
0.017035,-28112.205,2468.59,-30580.795,-28371.6,276.14564,-197.83352,89905.726,0.99819922
0.019535,-28098.351,2491.5131,-30589.864,-28114.828,278.70991,-12.620567,89521.974,1.0024782
0.022035,-28185.891,2437.4794,-30623.37,-28012.425,272.6655,133.19049,89302.857,1.0049379
0.024535,-28166.598,2413.9218,-30580.519,-27988.715,270.03025,136.20526,89549.722,1.0021676
0.027035,-28085.6,2487.2738,-30572.874,-28074.994,278.23568,8.0996005,89785.396,0.99953701
0.029535,-28117.564,2460.3586,-30577.923,-27909.285,275.22485,158.92224,89863.887,0.99866397
0.032035,-28255.336,2356.3535,-30611.689,-28538.958,263.59045,-215.97451,90045.51,0.99664965
0.034535,-28099.619,2489.9553,-30589.575,-27755.639,278.53564,264.30161,89239.673,1.0056494
0.037035,-28076.912,2447.5871,-30524.499,-28638.193,273.79618,-427.99385,89922.136,0.99801706
0.039535,-28044.317,2531.1119,-30575.429,-28068.875,283.13958,-18.784949,89643.497,1.0011192
0.042035,-28056.328,2500.1365,-30556.464,-27550.834,279.67455,389.75236,88930.544,1.0091451
0.044535,-28273.296,2367.4828,-30640.778,-28538.573,264.83541,-202.79684,89693.938,1.0005562
0.047035,-28087.818,2469.9656,-30557.783,-27798.861,276.29953,220.41314,89891.758,0.99835433
0.049535,-28128.458,2450.2078,-30578.666,-28248.914,274.08934,-91.816164,89956.485,0.99763598
0.05,-28126.064,2466.3669,-30592.431,-28538.714,275.89697,-314.66973,89919.036,0.99805147
