Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1081442.9,0.0,1081442.9,2680077.2,0.0,1187019.7,92345.414,0.97182764
0.005,-33648.094,0.0,-33648.094,-35297.219,0.0,-1224.5093,92345.414,0.97182764
0.00593,-33651.026,0.0,-33651.026,-35278.87,0.0,-1208.7086,92345.414,0.97182764
0.002035,-30443.426,1623.4604,-32066.886,-31158.259,181.60631,-530.77915,92345.414,0.97182764
0.004535,-29500.903,2002.8576,-31503.761,-30407.723,224.04709,-673.3326,92345.414,0.97182764
0.007035,-28734.842,2304.7624,-31039.604,-30012.492,257.81928,-948.68231,92345.414,0.97182764
0.009535,-28228.84,2403.3878,-30632.228,-29986.062,268.85188,-1304.7742,92345.414,0.97182764
0.012035,-28015.972,2480.7057,-30496.678,-29291.362,277.50095,-947.00413,92345.414,0.97182764
0.014535,-28050.538,2464.9134,-30515.451,-29872.244,275.73436,-1352.6554,92345.414,0.97182764
0.017035,-27889.216,2498.1967,-30387.413,-29218.876,279.45756,-987.3002,92345.414,0.97182764
0.019535,-28088.137,2423.3551,-30511.492,-29378.625,271.0855,-958.21497,92345.414,0.97182764
0.022035,-28133.458,2415.8445,-30549.302,-30006.949,270.24534,-1391.1067,92345.414,0.97182764
0.024535,-28030.832,2404.7793,-30435.611,-30127.954,269.00754,-1557.1573,92345.414,0.97182764
0.027035,-28053.989,2429.0083,-30482.998,-29080.705,271.71789,-762.35787,92345.414,0.97182764
0.029535,-28071.907,2510.0696,-30581.976,-29934.894,280.78571,-1383.3076,92345.414,0.97182764
0.032035,-28127.106,2454.7074,-30581.813,-30041.977,274.59268,-1421.832,92345.414,0.97182764
0.034535,-27960.547,2481.8479,-30442.395,-29763.065,277.62872,-1338.4069,92345.414,0.97182764
0.037035,-28046.942,2464.1727,-30511.114,-29474.442,275.65151,-1059.9493,92345.414,0.97182764
0.039535,-28046.257,2437.7095,-30483.966,-29633.199,272.69124,-1178.3384,92345.414,0.97182764
0.042035,-28112.326,2445.9424,-30558.269,-30215.831,273.6122,-1561.8966,92345.414,0.97182764
0.044535,-28053.945,2494.7307,-30548.675,-29967.578,279.06984,-1420.9128,92345.414,0.97182764
0.047035,-28043.296,2424.7548,-30468.05,-29698.655,271.24208,-1229.1394,92345.414,0.97182764
