Time / ns,TotEng / Kcal mole⁻¹,KinEng / Kcal mole⁻¹,PotEng / Kcal mole⁻¹,Enthalpy / Kcal mole⁻¹,Temp / K,Press / atm,Volume / Å³,Density / g cm⁻¹
0.0,1081442.9,0.0,1081442.9,2680077.2,0.0,1187019.7,92345.414,0.97182764
0.005,-33648.094,0.0,-33648.094,-35297.219,0.0,-1224.5093,92345.414,0.97182764
0.00593,-33651.026,0.0,-33651.026,-35278.87,0.0,-1208.7086,92345.414,0.97182764
0.002035,-30444.627,1603.1665,-32047.793,-31215.776,179.33616,-572.59435,92345.414,0.97182764
0.004535,-29502.862,2083.1468,-31586.009,-30432.377,233.02854,-690.18431,92345.414,0.97182764
0.007035,-28743.479,2240.81,-30984.289,-29634.783,250.66533,-661.81243,92345.414,0.97182764
0.009535,-28270.572,2430.0782,-30700.65,-29943.783,271.83757,-1242.3947,92345.414,0.97182764
0.012035,-28018.362,2465.321,-30483.683,-29987.897,275.77996,-1462.4214,92345.414,0.97182764
0.014535,-28025.59,2509.462,-30535.051,-29382.906,280.71774,-1007.8358,92345.414,0.97182764
0.017035,-27948.436,2475.6675,-30424.103,-29437.043,276.93736,-1105.3225,92345.414,0.97182764
0.019535,-28092.03,2427.4524,-30519.482,-29654.643,271.54384,-1160.2729,92345.414,0.97182764
0.022035,-28019.674,2504.5191,-30524.193,-29588.629,280.1648,-1164.9818,92345.414,0.97182764
0.024535,-28075.323,2486.4253,-30561.748,-30098.669,278.14076,-1502.3769,92345.414,0.97182764
0.027035,-28120.468,2455.5718,-30576.04,-29927.703,274.68939,-1341.9099,92345.414,0.97182764
0.029535,-28014.099,2474.0181,-30488.117,-29671.796,276.75285,-1230.8748,92345.414,0.97182764
0.032035,-28117.107,2461.3029,-30578.41,-29747.905,275.33048,-1210.902,92345.414,0.97182764
0.034535,-28127.494,2391.6938,-30519.188,-29475.483,267.54375,-1000.91,92345.414,0.97182764
0.037035,-28038.55,2481.7097,-30520.26,-29775.533,277.61327,-1289.7465,92345.414,0.97182764
0.039535,-27990.599,2494.0,-30484.599,-29663.578,278.98811,-1242.2217,92345.414,0.97182764
0.042035,-27916.949,2500.861,-30417.81,-29525.03,279.75559,-1194.034,92345.414,0.97182764
0.044535,-28029.197,2507.4182,-30536.615,-29451.464,280.48911,-1056.0631,92345.414,0.97182764
0.047035,-28116.642,2431.8497,-30548.492,-29961.55,272.03574,-1369.883,92345.414,0.97182764
